created_time,favorite_count,retweet_count,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never
Thu Nov 14 03:35:40 +0000 2019,0,9212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:32:36 +0000 2019,54268,13871,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 21:04:14 +0000 2019,0,18716,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wed Nov 13 21:04:07 +0000 2019,0,26597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 21:03:25 +0000 2019,0,11878,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Wed Nov 13 21:03:14 +0000 2019,0,6008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 21:03:10 +0000 2019,0,11773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wed Nov 13 19:08:06 +0000 2019,0,11162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 19:08:00 +0000 2019,0,17145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 19:07:16 +0000 2019,0,21420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 19:07:04 +0000 2019,0,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 19:06:55 +0000 2019,0,5998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 19:06:25 +0000 2019,0,9776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 17:04:19 +0000 2019,0,14398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 17:04:08 +0000 2019,0,25043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 17:02:41 +0000 2019,0,16848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 17:00:38 +0000 2019,0,19237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:58:15 +0000 2019,0,30963,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Wed Nov 13 16:50:37 +0000 2019,59505,20111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:57 +0000 2019,0,14952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:49 +0000 2019,0,12661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:40 +0000 2019,0,12176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:34 +0000 2019,0,7142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:28 +0000 2019,0,9922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:11 +0000 2019,0,10474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wed Nov 13 16:36:02 +0000 2019,0,9690,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
